Title,Description,Aims,Learning outcome( Expecting outcome),Type label,Location,Organization,Year,SDGs related,Related to which discipline,Useful for which industries,Source,id
Smart Campus Newton,"Newton Smart Campus proposes to identify the real problems of society due to urbanization intensification and develop solutions to solve these problems, using the campus as a space for prototyping and learning. ","The intensification of urbanization leads to various aggravating factors in an intensely populous city. Among them, we can mention: difficulties of urban mobility, increase in waste generation, and difficulties of destination, intense use of finite resources, such as water, electricity, and energy. Difficulties such as these also exist within a University Campus. Because of this, the extension nucleus called Smart Campus appeared.","– Recycling of plastics, paper, used oil, electronics, and batteries.
– Development of photovoltaic autonomous energy poles;
– Actions to encourage the use of rickshaws among students within the Campus;
– Elaboration of an online Smart Cities course for the entire academic community;
– Smart Talk – a podcast channel available on SoundCloud with a discussion about Smart Cities and Sustainability;
– Creating living spaces;
– Book fairs promotion, in which students can bring old books and exchange for others in an accessible way;
– Poor communities and schools action to make education and job chances better.",Program,Brazil,Centro Universitário Newton Paiva,,11,Humanities and Law,Public administration and safety,https://blogs.upm.es/education4sdg/2020/04/24/dghxdfhsxfg/,11
Sustainable solutions: Students localize the SDGs in Philadelphia,"Sustainable Solutions is a University of Pennsylvania student initiative to educate Philadelphia students (from high school to university) about the UN’s Agenda 2030 and its 17 Sustainable Development Goals (SDGs) and invite them to tackle one or more of the SDGs through project-based solutions. Under the theme of Localizing the SDGs, it has crafted an orientation program and ideas competition that invites student teams to pitch a Philadelphia based SDG project with funding for the winners for further development.",,This project has and will continue to educate students and the wider community about the SDGs and offer examples on how to localize the implementation of those most relevant to the city. It will stimulate specific projects through its ideas competition whose winners will receive financing to move from ideas to real projects.,Initiative,United States,"University of Pennsylvania
",,"3, 4, 6, 7, 11",Environmental and Related Studies,Public administration and safety,https://blogs.upm.es/education4sdg/2020/05/16/sustainable-solutions-students-localize-the-sdgs-in-philadelphia/,12
Your move” - The gamification of the SDGs,"From the 17 goals, a list of over 100 sub-topics were devised with examples such as ‘waste and the sea’, ‘what is income inequality’ and ‘STEM and the female student’. Teams selected their preferred topic and were asked to conceptualize a gamified way of teaching this topic to a chosen target audience. Teams were trained in gamification, design and provided with relevant SDG knowledge to think up their game idea. They presented their game idea as an online pitch with detail on the target audience, look and feel of the game and some digital artefacts to show movement / gameplay.","In an effort to consider entrepreneurship and innovation in the future for undergraduate business and finance students, future trends are often embedded into the 1st year yearlong enterprise module (over 450 students annually). Due to an increased need and responsibility to inform students about sustainability in both business and the community, it was decided to consider the sustainable development goals to be an embedded part of the course.","At present, over 100 online game pitches have been submitted and student teams are currently working on their poster assignments (showcase April 16th). During the showcase, posters will be graded by 12 academic staff as one panel, and 12 industry experts who will come from business and the NGO community.",Game,Ireland,Dublin City University,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17 ",Business and Management,Apply to all organizations,https://blogs.upm.es/education4sdg/2020/05/16/your-move-the-gamification-of-the-sustainable-development-goals/,13
"Communication campaign on the SDGs: ""Set your SDGoals! YOU are part of the chain towards sustainability!""","The five Public Universities of the Valencian Community called the contest “Communication Campaign on the SDGs”, with which to generate ideas for the participation of the university community in the dissemination and communication of the SDGs.","In order to encouraging the participation of this commonwealth through art in a creative, artistic and above all sustainable way","More than one hundred people have participated in each workshop.
self-made & personalized merchandise bags and shirts made with the same printing scheme has contributed to the creation of an environment-friendly communication SDGs campaign.
Impact on the Educational Community: weekly exhibitions of the 17 SDGs prints created in each institution forging them as part of each institution’s art collection and making SDGs visible and transcendent to thousands of passersby and visitors.
Online presence results: By registering a reach of 14,750 visitors within the last 60 days.
Improving food products either consumed or sold at the university (promotion of the use of organic food, use of local foods and elimination of precooked foods): SDG 2 and 3

Transversally, the communication campaign relates to gender equality (SDG 5), Reduction of inequalities (SDG 10) and promotion of the Basque culture / language (SDG 11).",Event,Spain,Universitat Politècnica de València,2018,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17 ",Education,Education and training,https://blogs.upm.es/education4sdg/2020/05/16/communication-campaign-on-the-sdgs-set-your-sdgoals-you-are-part-of-the-chain-towards-sustainability/,14
SDGs at the Theater,"At the beginning of 2017, the initiative “SDGs at the Theatre” was planned to take place at the University of Brescia (Italy). This approach has been considered particularly suited to the social and productive context of the Province of Brescia, characterised on the one hand by a highly industrialized structure/system focused on innovation and scientific development, and on the other by significant environmental problems and pockets of poverty. The challenge of sustainability, at both universal and local levels, has therefore been adopted by the University of Brescia as an educational strategy involving the entire socially engaged academic community.","Promoted by the UNESCO Chair on “Training and empowering human resources for health development in resource-limited countries”, it aimed to boosting the message/dissemination of the 2030 Agenda that had recently been launched by the United Nations among the academic community and citizens.","The initiative has been well received by the academic and the social communities and gathered hundreds of participants. At the end of the meetings, the participants who attended the entire cycle have been awarded with a symbolic certificate",Initiative,Italy,University of Brescia,2017,"1, 3, 4, 9, 11, 12, 13",Creative Arts,Arts and recreation services,https://blogs.upm.es/education4sdg/2020/05/16/sdgs-at-the-theater/,15
Leave No One Behind,"Leave No One Behind is a program designed to support students to develop a social business idea that addresses a social inclusion challenge in the local community. It is particularly focused on students from the Humanities and Social Science disciplines (including education, business, law, arts, design, architecture) and provides an opportunity for students to harness the skills from their degrees, develop foundational entrepreneurship skills, and orient that towards solving entrenched social disadvantage challenges. ",The program aims to build student literacy in the SDGs and support the development of entrepreneurship skills as a means of developing local SDG solutions.,"The opportunity for students to develop social business solutions to social inclusion challenges that they are directly or indirectly affected by, or otherwise passionate about, has proved popular. The program is relatively new for Monash, but has reached significant numbers of students who are all passionate about delivering positive social change.","Initiative;
Experiential learning",Australia,Monash University,Ongoing,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",Business and Management,Professional services,https://blogs.upm.es/education4sdg/2020/05/16/leave-no-one-behind/,16
Positive Action: Incorporating Sustainable Development Goals in Social Service Community Projects in Higher Education at Tecmilenio,"With the purpose of providing an opportunity for students to explore ways in which they can “leave their mark” in the world the University designed and implemented the Positive Action program. At the end of the program, students should have designed and implemented a social impact project, aligned to the SDGs, in collaboration with a community-based organization that brings the student closer to the achievement of their declared life purpose.","The purpose of the Positive Action program is fourfold: First, by law, students of higher education must complete 480 hours of community service in order to obtain their degree. Tecmileno seeks to go beyond and above and create projects that will have a positive social impact. Second, Tecmilenio leverages the social service requirement as a means to instill in students a social awareness that will permeate their declared life purpose and their role as agents of change. Third, as an active member of the UN Sustainable Development Solutions Network (SDSN), Tecmilenio is committed to integrating strategies that will mobilize students to work towards advancing the SDGs. Hence, Tecmilenio has discovered that students can align their character strengths and professional competencies to the SDG framework. Last, Tecmilenio recognizes the importance of collaborating with community based organization that are committed to the 2030 Agenda, therefore, the Positive Action program seeks to enhance those partnerships by having students collaborate directly with active community based organizations. ","The vision of Tecmilenio`s Positive Action program:
1. Students that participate in this program are more socially aware and continue to be engaged in their communities.
2. Local community impact through the design and implementation of a social impact project based on the SDG(s).
3. Strong community ties through collaboration between students and local community based organizations.",Postgraduate program,Mexico,Tecmilenio,2019-2020,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17 ",Education,Education and training,https://blogs.upm.es/education4sdg/2020/05/16/positive-action-incorporating-sustainable-development-goals-in-social-service-community-projects-in-higher-education-at-tecmilenio/,17
SDGs Mobility Program and Global Citizenship Awareness,"UAM is now launching the second edition of the SDGs Mobility Program and Global Citizenship Awareness, which offers the possibility to university students to participate in local community projects in Latin America and Africa.In order to participate students must reflect about sustainable development challenges and propose ideas on projects SDG aligned and developed in the university.","With this program, UAM wants to instil values, knowledge and competencies on human rights, social justice, diversity, gender equality and sustainability. Educate on global citizenship. Create awareness about the incidence of the A2030 on development challenges and the role of the university in the process.","Through the participation in this program UAM expects the students to be able to understand opportunities and difficulties in addressing sustainable development solutions and be able to comprehend local realities. Typical successful itinerary will be that one of a student that once returned from their service to their occupations (studies, or training) are able to apply their field experience and switch of their mind-set. Also students are asked to write a thorough report about their experience with specific reflections about the SDGs implementation.",Postgraduate program,Spain,"Universidad
Autónoma de Madrid",2006-2013,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17 ",Education,Education and training,https://blogs.upm.es/education4sdg/2020/05/08/sdgs-mobility-program-and-global-citizenship-awareness/,18
Sustainability Challenge,"The Sustainability Challenge (SC) is a renowned inter- and transdisciplinary university course jointly offered by the 4 largest universities of Vienna – University of Economics and Business, Technical University, University of Natural Resources and Life Science and University of Vienna – and coordinated by RCE Vienna. Since 2016, the SC is also taking on and supporting sustainability-driven start-up ideas, such as an online marketplace for sustainable products and services, establishing transparent criteria based on the SDGs framework.","The SC interlinks theoretical content with real-life experiences and implementation, enabling learners/ students of different backgrounds to become agents of change in their community and create local impact, thus contributing to the realization of SDGs.","1) Reach students of all fields, and enable them to become change makers within their local community through means of transformative teaching and learning tools. So far, over 600 students have participated in the program.
2) Reach companies of all sectors, who act as service-learning partners for the interdisciplinary student teams, thus finding means to take part in achieving the SDGs as a company. So far, over 60 companies have acted as service-learning partners, realizing SDG-related projects together with interdisciplinary student teams.
3) Promoting the SDGs in universitary curriculums in Vienna: the Sustainability Challenge is part of the curriculum of all the participating four universities, where students of any field get awarded credits for participating.",Course,Austria,University of Economics and Business; Vienna,Ongoing,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17 ",Education,Education and training,https://blogs.upm.es/education4sdg/2020/05/09/sustainability-challenge/,19
Calling future educators to action through the SDGs,This case study focuses on a university course called Sustainability Science for Teachers. The SDG framework provides a relevant context for preservice teachers’ learning about sustainability science. ,"The course aims to prepare teachers to be educators for sustainability, who have knowledge, values, skills, and dispositions needed to help create a more just and sustainable future.  ","In a recent pre-post survey, students reported changes in their beliefs about the relevance of sustainability education, attitudes toward sustainable development, sustainable consumption practices, locus of control and EfS self-efficacy (Merritt, Hale, & Archambault, 2019).",Course,United States,Arizona State University,Ongoing,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17 ",Education,Education and training,https://blogs.upm.es/education4sdg/2020/05/09/calling-future-educators-to-action-through-the-sdgs/,20
"Connect the dots! Bring SDGs into the classroom through active learning and
industry participation","The SDG Framework, especially SDG 5 was incorporated under BTW2320 (Current Issues In Corporate Governance) through lectures, active learning, industry participation and a written task which carried 30% marks. An overview of SDG history and its framework was provided. Narrowing in, under SDG 5, they related the target to ‘Adopt and strengthen sound policies and enforceable legislation for the promotion of gender equality and the empowerment of all women and girls at all levels’ to the latest reform in the Malaysian Code of Corporate Governance which requires the board of Large Companies to comprise at least 30% women directors. To follow through, the written task (30%) required students to  critically evaluate the success of women directors in Malaysia,  reflect on whether gender differences is relevant at the highest levels within organizations in terms of leadership and performance,  assess the effectiveness of Corporate Governance standards. This required students to apply the SDG Framework.","As SDG 5 emphasizes Gender Equality, the aim was to encourage students to question and reflect on the current push for more women directors in companies and weigh in on the importance of gender (if at all) in the upper levels of corporate governance.","These are some feedback from students on SETU Evaluation and emails:
1. “Assignments and debate helped me to better understand the issues we learned in class.”
2. “Volunteering for the debate helped me gain an edge.”
3. “Especially when it came to relating the topics to one another. The essay also helped improve said skills as extensive research was required, thus it needed more in depth analysis.”
4. “The assessments provided meaningful opportunity for students to demonstrate their knowledge, application and critical thinking.”
5. “I found the Presentation and debate part of the unit most effective.”",Postgraduate program,Malaysia,Monash University Malaysia,2019," 5
",Education,Education and training,https://blogs.upm.es/education4sdg/2020/05/08/connect-the-dots-bring-sdgs-into-the-classroom-through-active-learning-and-industry-participation/,21
Embedding SDGs content in existing courses,"We use the SDG framework in our lectures and tutorials especially during the introductory lecture of the course to make students aware of the UNSDG and its targets. Basically, we try to implement the SDG throughout the course by focusing on increased use of energy efficiency and renewable energy. We also developed a group project solely focused on the development of energy efficiency and renewable energy technologies and policies. Moreover, students also perform a minor research project which is dedicated to bioenergy, renewable energy such as solar, biogas, etc. and energy efficiency projects. Some of these projects are also directly related to the solution of industrial real world problems.","The Master of Advanced Engineering (MAE) in Energy and Sustainability program is designed to groom our next generation to become a change agent of sustainability so that they can make the ecosystem a better place to live in and to take care of the future. We also aim to make them conscious and responsible for the environment, economy and society while developing the materials and technology.","In the Sustainable Energy Technologies (MEC5886) unit, students successfully designed the solar PV system for a campus building. Overall, the impact of hands-on and practical project work done by students was very helpful to the Facilities Management Department to conserve energy by reducing the electricity consumption. ",Course,Malaysia,Monash University Malaysia,Ongoing,"4,7, 11, 12",Education,Education and training,https://blogs.upm.es/education4sdg/2020/05/09/embedding-sdgs-content-in-existing-courses/,22
"National SDGs: Budgets, Audit and Accountability",Sustainable Development is a term that will be familiar to ours Law Degree students. DSGs is not a traditional topic on the Economic Public Law syllabus.,"1. Provide our students an essential background about ODS and its three objectives (social, economic and environmental) ;
2. Provide an overview of how the concept of sustainable development may be reflected in the strategies, policies and Public Budgets
3. Provide an overview of how the concept of sustainable development has been applied to individual public policies or programs, special gender mainstreaming (ODS-5)
4. Acquire knowledge about results, public audit and accountability in ODS policies",Provide a sight deep about sustainable development strategies objectives and targets in individual public policies,Postgraduate program,Spain,"Universidad 
Pública de
Navarra",,16,Humanities and Law,Public administration and safety,https://blogs.upm.es/education4sdg/2020/05/09/national-sdgs-budgets-audit-and-accountability/,23
Re-imagining the Purpose of business: Embedding UN Sustainable Development Goal 1: No Poverty,"This case study relates to the “Poverty Alleviation and Profitability”, course embedded within a Master of Management (CEMS) programme, at the University of Sydney Business School. As the key theme of the course was that the SDGs, (particularly SDG1-No poverty) are a framework for business strategy, the emphasis was on discussing case studies that illustrated both effective and ineffective use of SDGs in their strategies.",The purpose of this course is to challenge students to re-imagine the traditional assumption that the purpose of business is to increase shareholder wealth via various mechanisms including informal and formal reflections as well as in class debates.,,Course,Australia,The University of Sydney,2017,1,Business and Management,Public administration and safety,https://blogs.upm.es/education4sdg/2020/05/08/transformational-learning-approach-to-embedding-un-sustainable-development-goal-1-no-poverty-in-business-curricula/,24
SDG Explorer - a new course on sustainability using SDGs as a guide,"SDGs were used as a framework to prepare the syllabus, as required readings to prepare each class, as a structure for students to submit written assignments or present company cases in-class. Each session was focused on one or more SDGs, around which discussions, team work, role plays, presentations, computer simulations, personal sustainability assessments etc. were organized.","The main purpose of this course is to help all first-year bachelor students in business (BBA) understand the importance and relevance of sustainability to them personally, both as individual citizens and future company executives. This understanding should be seen in the broader context of institutions engaged in sustainability, including companies, governments, and international organizations – all of which use SDGs.","A list of 8 learning objectives was established, with each class focusing on one or two of them, structured to ensure varied repetition, for example covering the same topic from different perspectives as pre-course reading, short written submission, a brief video, class discussion, and team-based presentation or competition.",Course,Switzerland,Business School Lausanne (BSL),2020,4,Business and Management,Education and training,https://blogs.upm.es/education4sdg/2020/05/09/sdg-explorer-a-new-course-on-sustainability-using-sdgs-as-a-guide/,25
"SDG Impact Assessment Tool
","It uses the SDG framework as a most efficient way to teach two interrelated issues. On the one hand, this concerns the way that the human right to health is disparately exercised in the world and health inequities between countries may be as significant as gaps of more than 25 years in life expectancy. On the other, the SDG framework helps to demonstrate to physicians-to-be how the 2030 international agenda concerns them, not only as citizens but also as medical practitioners.","This compulsory training unit aims to ensure that every single medical student, in his or her very first semester at Medical School, learns about present-day health inequalities in the global world.","The goal of this activity is the integration of SDG3 into the professional compulsory training of every physician-to-be, so that they are aware of health inequalities worldwide. Through this activity, their consciousness in regards to their role towards health equity is raised and specific targets are envisioned as part of a shared international agenda that they should assume..",Postgraduate program,Spain,Universidad de Cantabria,,"3
",Health,Health care and social assistance,https://www.google.com/search?q=Medical&sxsrf=AOaemvJRyajUikWgNNeliJVA7Q4Ea1W5MA:1634305456475&ei=sIVpYfGjHKyA1e8PjbSLqAE&start=0&sa=N&ved=2ahUKEwjxu7-hxszzAhUsQPUHHQ3aAhU4ChDy0wN6BAgBEDw&biw=1280&bih=657&dpr=2,26
"Embracing interdisciplinarity: The SDGs as a route to cross-disciplinary dialogue
in the classroom 
","The University of Bristol’s ‘Sustainable Development’ open unit represents a constituent part of the innovative Bristol Futures curriculum, which is based on the provision of skills, awareness and – significantly – agency to undergraduate students at the University. Within this framework, the Sustainable Development unit has been developed by a multi-disciplinary teaching team, including academics from across the Faculty of Science, Faculty of Engineering, Faculty of Social Science & Law and the Faculty of Arts.","Our primary aim when developing this unit was to embed the Sustainable Development Goals – and wider sustainable development policy – into the curriculum for students across the University of Bristol. In doing so, we wanted to encourage students to both understand and embrace interdisciplinarity and systems thinking, teaching to ‘think’ beyond their disciplines, backgrounds and experience and understand that addressing global challenges requires collaboration across the traditional silos of academia and policy-making. ","Within these workshops, students have completed a number of active, problem-based tasks – including the designing of a mobile app to contribute to SDG 7, a participatory budgeting exercise centred on SDG 11 and the development of an advertising campaign to feed into SDG 12. In doing so, students have demonstrated both an impressive ability to work in interdisciplinary teams but also their potential in thinking creatively and holistically in how they – and their education – can contribute to the achievement of the SDGs.",Postgraduate program,United Kingdom,University of Bristol,Ongoing,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17  ",All,Education and training,https://blogs.upm.es/education4sdg/2020/05/09/embracing-interdisciplinarity-the-sustainable-development-goals-as-a-route-to-cross-disciplinary-dialogue-in-the-classroom/,27
