id,keyword,sdggoal,target,reference1,reference2,Note
147,Ecological,1,1.5,0,-,
148,Ecological balance,1,1.5,0,-,
149,Ecological equilibium,1,1.5,0,-,
150,Ecological footprint ,1,1.5,7,16,
151,Economic disaster  ,1,1.5,7,-,
152,Economic disaster ,1,1.5,7,-,
153,environmental disaster ,1,1.5,7,-,
154,Flood ,1,1.5,19,-,
155,Food supply ,1,1.5,7,-,
156,Forced miragation,1,1.5,0,-,
157,Green economy,1,1.5,0,-,
158,Income shock ,1,1.5,16,-,
159,Over population,1,1.5,0,-,
160,Poor and vulnerable,1,1.5,0,-,
161,Poor household ,1,1.5,14,-,
162,Poverty,1,1.5,0,-,
163,Poverty alleviation ,1,1.5,8,-,
164,Poverty determinant ,1,1.5,16,-,
165,Poverty eradication ,1,1.5,7,-,
166,Poverty in all its forms and dimensions ,1,1.5,19,-,
167,Poverty line ,1,1.5,7,-,
168,Poverty reduction ,1,1.5,16,-,
169,R&D ,1,1.5,20,-,
170,R&D investment ,1,1.5,7,-,
171,Recycle,1,1.5,0,-,
172,Recycling ,1,1.5,7,-,
173,reduce vulnerability ,1,1.5,7,-,
174,Refugee crisis,1,1.5,0,-,
175,Refugee rights,1,1.5,0,-,
176,Renewable,1,1.5,0,-,
177,Renewable electricity ,1,1.5,20,-,
178,Resilience,1,1.5,0,-,
179,Resilience of the poor ,1,1.5,7,-,
180,Resilient,1,1.5,0,-,
181,Reuse ,1,1.5,7,-,
182,Reuse technologies,1,1.5,0,-,
183,Scientific research,1,1.5,0,-,
184,Sharing economy ,1,1.5,7,-,
185,social disaster ,1,1.5,7,-,
186,Social wellbeing,1,1.5,3,-,
187,Sustainable economic growth,1,1.5,0,-,
188,Sustainable energy,1,1.5,0,-,
189,Sustainable energy service,1,1.5,0,-,
190,Sustainable farming,1,1.5,0,-,
191,Sustainable power,1,1.5,0,-,
192,Sustainable societies,1,1.5,0,-,
193,Sustainable society,1,1.5,0,-,
194,Vulnerable,1,1.5,0,-,
195,Wind power,1,1.5,0,-,
196,Zero waste ,1,1.5,7,-,
197,Economic resource ,1,1.A,7,-,
198,left behind children ,1,1.A,11,-,
199,Oportunidades ,1,1.A,16,-,
200,Over population,1,1.A,0,-,
201,Poor household ,1,1.A,14,-,
202,Poverty,1,1.A,0,-,
203,Poverty alleviation ,1,1.A,8,-,
204,Poverty determinant ,1,1.A,16,-,
205,Poverty eradication ,1,1.A,7,-,
206,Poverty in all its forms and dimensions ,1,1.A,19,-,
207,Poverty line ,1,1.A,7,-,
208,Poverty reduction ,1,1.A,16,-,
209,PROGRESA ,1,1.A,16,-,
210,Public infrastructure ,1,1.A,7,-,
211,Quality of Life,1,1.A,0,-,
212,reduce vulnerability ,1,1.A,7,-,
213,Refugee crisis,1,1.A,0,-,
214,Refugee rights,1,1.A,0,-,
215,Water infrastructure ,1,1.A,16,-,
216,Child labor ,1,1.B,7,-,
217,Child labour ,1,1.B,7,-,
218,Education ,1,1.B,0,-,
219,Income equality,1,1.B,0,-,
220,Income inequality,1,1.B,0,-,
221,Non-discrimination,1,1.B,0,-,
222,Over population,1,1.B,0,-,
223,Poor and vulnerable,1,1.B,0,-,
224,Poor household ,1,1.B,14,-,
225,Poverty,1,1.B,0,-,
226,Poverty alleviation ,1,1.B,8,-,
227,Poverty eradication ,1,1.B,7,-,
228,Poverty in all its forms and dimensions ,1,1.B,19,-,
229,Poverty line ,1,1.B,7,-,
230,Poverty reduction ,1,1.B,16,-,
231,Pro-poor and gender-sensitive development strategies ,1,1.B,19,-,
232,Pro-poor and gender-sensitive development strategy ,1,1.B,19,-,
233,Public infrastructure ,1,1.B,7,-,
234,reduce vulnerability ,1,1.B,7,-,
235,Sanitation,1,1.B,0,-,
236,social service,1,1.B,0,-,
237,social venture,1,1.B,0,-,
238,Water infrastructure ,1,1.B,16,-,
239,Woman,1,1.B,0,-,
240,Women,1,1.B,0,-,
