Actions,Level,Digital actions,Industry,Sources,Links,Additional Notes,Action detail,SDGs,Individual/Organization,id,related_industry_org,Related Industry (org only),Column11
Don’t visit institutions that behave in a cruel way towards animals,3,0,,Global Goals Impact Games,https://ggimpactgames.com/actions/,Add by Ryan Su,Don’t visit institutions that behave in a cruel way towards animals: Stop going to circuses with animals and attend only zoos and aquariums that take good care of their animals and foster an environment of natural habitat.,15,0,3222,,,
Don’t buy fur or leather,3,0,,Global Goals Impact Games,https://ggimpactgames.com/actions/,Add by Ryan Su,Don’t buy fur or leather: Substitute fur and leather with faux ones or other materials to prevent cruel practices against animals in the fashion sector.,15,0,3223,,,
Adopt house animals,2,0,,Global Goals Impact Games,https://ggimpactgames.com/actions/,Add by Ryan Su,Adopt house animals: You can save the life of an animal by adopting a pet and not buying one.,15,0,3224,,,
Volunteer with street animal organizations or shelters,3,0,,Global Goals Impact Games,https://ggimpactgames.com/actions/,Add by Ryan Su,Volunteer with street animal organizations or shelters: Help to sustain diversity and save lives of animal species by volunteering in organizations helping these pets as well as endangered species.,15,0,3225,,,
Educate yourself and friends about their rights and responsibilities,1,0,,Global Goals Impact Games,https://ggimpactgames.com/actions/,Add by Ryan Su,"Educate yourself and friends about their rights and responsibilities: By knowing your rights you can protect yourself in possibly dangerous situations for your basic human and other rights. By educating others, you can help to prevent more youth and kids from getting in the situations where they would be exploited or abused, provide them with information about access to legal services and others. This should be a separate class in your educational institution.",16,0,3226,,,
Run community workshops for conflict resolution,3,0,,Global Goals Impact Games,https://ggimpactgames.com/actions/,Add by Ryan Su,"Run community workshops for conflict resolution: Engage your teachers and peers (or colleagues) in a workshop about conflict management and resolution. This should be facilitated by a professional and can be a platform for your friends and yourself to learn about preventing violent resolution of conflicts, empathy and emotional intelligence.",16,0,3227,,,
Participate in meetings between officials and underrepresented groups,3,0,,Global Goals Impact Games,https://ggimpactgames.com/actions/,Add by Ryan Su,"Participate in meetings between officials and underrepresented groups: You can contribute with a voice of your generation in a decision-making process by taking active part in meetings with your government representative, various youth working groups etc. Globally only 2% of parliamentarians are under 30 years old. This makes youth an underrepresented group and you need make an extra effort for your rights to be reflected and protected.",16,0,3228,,,
Vote! ,1,0,,Global Goals Impact Games,https://ggimpactgames.com/actions/,Add by Ryan Su,"Vote! : use your voting rights to manifest your support to particular ideas or to make your voice heard by different institutions. In the end, decisions are made by those who show up.",16,0,3229,,,
Run for a public post,3,0,,Global Goals Impact Games,https://ggimpactgames.com/actions/,Add by Ryan Su,"Run for a public post: If the two previous actions are not enough for you and you want to represent youth in official decision-making, you can always run for a public post. You can find inspiring examples around the world, for example, Minister of Youth in the UAE is just 23 years old.",16,0,3230,,,
Stay updated with the news,1,0,,Global Goals Impact Games,https://ggimpactgames.com/actions/,Add by Ryan Su,"Stay updated with the news: Being up-to-date with what is going on in society helps you to be aware of rising conflicts, the current state of the major governmental decisions, new laws that can influence you. Being well informed and having access to information is a privilege and strength that you can use and need to share with your peers to be ready to make decisions on your own.",16,0,3231,,,
Call out corruption attempts and don’t give bribes,"3,4,5",0,,Global Goals Impact Games,https://ggimpactgames.com/actions/,Add by Ryan Su,"Call out corruption attempts and don’t give bribes: Even in the life of a teenager, student or young professional, you might face attempts of bribery in different institutions (school, hospital, driving school etc). Make a conscious decision not to support this behaviour even though it might seem easier to give a bribe than study or work for a particular thing.",16,0,3232,,,
Work or volunteer in NGOs that work with SDGs,4,0,,Global Goals Impact Games,https://ggimpactgames.com/actions/,Add by Ryan Su,"Work or volunteer in NGOs that work with SDGs: through volunteering with various NGOs you can contribute through various projects in your own country or developing countries to achieving the Sustainable Development Goals. In particular, you can volunteer in developing countries in the field of capacity building for technology and innovation advancement, as well as education about sustainable development.",17,0,3233,,,
Fundraising for projects aligned to the SDGs,"3,4",0,,Global Goals Impact Games,https://ggimpactgames.com/actions/,Add by Ryan Su,Fundraising for projects aligned to the SDGs: You can support a project directly with your resources or start a crowdfunding campaign to support existing initiatives aiming to help achieve the SDGs in one of the developing countries. Just visit one of these platforms to get inspired and decide how you want to support this cause.,17,0,3234,,,
Buy products from developing countries,3,0,,Global Goals Impact Games,https://ggimpactgames.com/actions/,Add by Ryan Su,Buy products from developing countries: You can support export by creating demand for products from developing countries. Pay attention to the Fair Trade label on products which helps to indicate products from local producers in developing countries.,17,0,3235,,,
Keep governments and companies accountable,"3,4",0,,Global Goals Impact Games,https://ggimpactgames.com/actions/,Add by Ryan Su,"Keep governments and companies accountable: Get to know about your government’s plan to implement the Sustainable Development Goals and use your citizenship power (voting, joining working groups, civil society organisations) to pressure governments to be accountable for this plan. You can use your customer power to influence businesses to implement sustainable practices. Maybe one person is not enough to make this happen, but you can start a movement in your community to be noticed. It is up to all of us to take responsibility and achieve the Goals that impact much more than only our own lives!",17,0,3236,,,
Switching to Digital,"3, 4",1,,Actions in AaltoSDG mobile application,https://www.aalto.fi/en,Add by Ryan Su,"By ensuring that less paper is being produced, we are able to combat pollution and reduce our carbon footprint on the planet.",12,0,3237,,,
Reuse Paper,"2, 4",0,,TakeOneStep,https://takeonestep.com.au/taxonomy/term/1030,Add by Ryan Su,"For the next semester, I pledge to reuse or recycle 80% of paper at least once before putting it in the recycling bin. As students, we use a large amount of paper. From worksheets to working sheets, it piles up rapidly. In Australia, on average each person consumes more than 200kg of paper annually and 1.9 million tonnes go to landfill. This results in alarming rates of deforestation, water usage and greenhouse gas emissions. There are so many things that we can do with used paper. Need to quickly write down some working? Used paper often has plenty of empty space! What if there is no empty space? Perfect time to recycle paper for arts and craft! We could be much more efficient with our paper usage and we can be more active in the recycling process than just putting it in the recycling bin.","12,13,15",0,3238,,,
Dispose e-waste responsibily,"2, 4",0,,TakeOneStep,https://takeonestep.com.au/node/1457,Add by Ryan Su," First, I would like to ensure that the campus is equipped with e-waste disposal bins at certain accessible locations and that all people can easily locate these using my monash app . Second, On campus directions to locations and posters depicting the importance to raise awareness are required. Third, like we have the integrity modules which are mandatory to complete for our study we should also make an informative module regarding campus rules and waste disposal covering all the waste disposal actions. All this to raise awareness within the students. As a part of the checks the university should also issue warnings and fines in case of wrong e-waste disposal at improper locations. ","9,12,15",0,3239,,,
Mindful Consumption,"3, 4",0,,TakeOneStep,https://takeonestep.com.au/node/1451,Add by Ryan Su,"Reducing the amount of packaged food I buy i.e. buying bulk wherever possible. Shop with the following questions in mind for all purchases: 'Do I NEED it', 'Can I do without it', 'is there a better alternative?'","12,13,15",0,3240,,,
Disrupt Duals,1,0,,TakeOneStep,https://takeonestep.com.au/taxonomy/term/1007,Add by Ryan Su,"Encourage and Teach women and girls, based on their context (e.g. intersecting context), to create memes on social media as a way of empowerment","5,10,11",0,3241,,,
Conscious Banking,1,0,,TakeOneStep,https://takeonestep.com.au/node/1419,Add by Ryan Su,"I am pledging to switch banks to a bank that does not support fossil fuels. I recently became aware that the bank I was with, the National Bank of Australia, lent $7 billion to the fossil fuel industry in the last 5 years. I want to trust my hard-earned savings with a bank that represents my values. For that reason, I am switching to Bank Australia; a bank that supports a just transition to renewable energy and a more sustainable future for all.",13,0,3242,,,
Parental equality,"5, 6",0,,TakeOneStep,https://takeonestep.com.au/node/1413,Add by Ryan Su,"According to the research, due to the current parental paid leave policy in Australia (the mother can be granted with 18 weeks of paid leave, while the dad or the partner is only limited to 2 weeks of paid leave. Therefore, it is evident that the policy encourages the parental equality with the mothers taking lion share of rearing, while the fathers taking share of the earning, causing the fathers' absenteeism in children's life. However, father's participation in children's rearing is crucial, and if their part is missed out will cause great amount of problems to the child during the lifetime. So my target of this program is to inform the government to increase the amount of time for dads and partners' paid leave.",8,1,3243,Public administration and safety,,
Government fundings,6,0,,,https://www.energysaver.nsw.gov.au/reducing-emissions-nsw/net-zero-industry-and-innovation; https://www.communitygrants.gov.au/grants/,Add by Ryan Su,governments are providing fundings for comopanies and organisations to support sustainability products and projects. It is the organisation's role to be proactive in keeping an eye on these funding opportunities to take initiative to become more sustainable," 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",1,3244,Public administration and safety,,
SDG Steering Committee,5,0,,UNSW Business School PRME SIP Report 2021,https://viewer.joomag.com/unsw-business-school-prme-sip-report-2021-december-2021/0921208001640067600,Added by Dai Lee,"develop, coordinate, monitor, evaluate and communicate
the entity’s engagement with the SDGs."," 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",1,3245,Public administration and safety,,
Annual Review and Internal Audit for SDG,5,0,,UNSW Business School PRME SIP Report 2021,https://viewer.joomag.com/unsw-business-school-prme-sip-report-2021-december-2021/0921208001640067600,Added by Dai Lee,Measurement and reporting of SDGs. Implementation and refine. Recognise and celebrate SDG targets at the university level. Complete internal audit to identify activities related to SDGs," 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",1,3246,Apply to all organizations,,
Sharing information on progress (SIP),5,0,,UNSW Business School PRME SIP Report 2021,https://viewer.joomag.com/unsw-business-school-prme-sip-report-2021-december-2021/0921208001640067600,Added by Dai Lee,"through a wide range of initiatives,
that the Business School has continued to strengthen and
embed our commitment towards the six PRME principles
and SDGs."," 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",1,3247,Apply to all organizations,,
Free legal/tax/financial advice,5,0,,UNSW Tax Clinic,https://www.unsw.edu.au/business/our-schools/accounting-auditing-taxation/about-us/UNSW-Tax-Clinic,Added by Dai Lee,"Provides free advice, community education and research-driven advocacy for those most in need. Example: UNSW Tax Clinic, Business School. ","1, 3, 5, 10, 16, 17 ",1,3248,Professional services,,
Opts for 100% renewable energy agreement,6,0,,Lane Cove Council,https://www.lanecove.nsw.gov.au/News/Pages/RenewableEnergyAnnouncement.aspx,Added by Dai Lee,targets carbon emissions through landmark renewable energy agreement,7,1,3249,Public administration and safety,,
"$45 million research, development and commercialisation infrastructure grants",6,0,,NSW Government,https://www.energysaver.nsw.gov.au/reducing-emissions-nsw/net-zero-industry-and-innovation/clean-technology-innovation/clean-technology-research-development-and-commercialisation-infrastructure-grants,Added by Dai Lee,"EOIs for clean technology research, development and commercialisation infrastructure projects in NSW. These grants fund infrastructure that will accelerate and scale-up innovative clean technologies to significantly reduce emissions in high-emitting and hard-to-abate industries across the state.",9,1,3250,Professional services,,
 $10 million ecosystem grants,6,0,,NSW Government,https://www.energysaver.nsw.gov.au/reducing-emissions-nsw/net-zero-industry-and-innovation/clean-technology-innovation/clean-technology-ecosystem-grants,Added by Dai Lee,"EOIs for projects that support incubators, pre-accelerators, accelerators and other similar initiatives in NSW. These projects will equip clean technology start-ups and innovators with the skills and resources they need to succeed in Australian and international markets.",9,1,3251,Professional services,,
$40 million clean technology commercialisation grants,6,0,,NSW Government,https://www.energysaver.nsw.gov.au/reducing-emissions-nsw/net-zero-industry-and-innovation,Added by Dai Lee,EOIs will open for projects to accelerate the commercialisation and scaling-up of proven clean technology innovations for trade in Australian and international markets.,9,1,3252,Professional services,,
Join Enactus UNSW (Student societies with purpose),4,0,,Enactus UNSW,https://enactusunsw.org/,Added by Dai Lee,A diverse community of entrepreneurial leaders who create and implement solutions to improve society.," 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",0,3253,,,
Wear it purple,4,0,,Wear it purple,https://www.wearitpurple.org/,Added by Dai Lee,"Wear it Purple Day is an annual LGBTIQA+ awareness day especially for young people, based in Australia. Supporters wear purple to celebrate diversity and young people from the LGBTIQA+ community. The Day is organised by Wear it Purple, a student run, not-for-profit organisation, providing presentations and workshops.",10,0,3254,,,
Earth Hour,5,0,,Earth Hour,https://www.earthhour.org.au/,Added by Dai Lee,"Earth Hour is a worldwide movement organized by the World Wildlife Fund. The event is held annually, encouraging individuals, communities, and businesses to turn off non-essential electric lights, for one hour, from 8:00 to 9:00 p.m. on the last Saturday of March, as a symbol of commitment to the planet.","13, 12, 17",1,3255,Public administration and safety,,
Double/Insulated glazing windows,2,0,,General ,https://en.wikipedia.org/wiki/Insulated_glazing,Added by Dai Lee,Insulating glass (IG) consists of two or more glass window panes separated by a space to reduce heat transfer across a part of the building envelope.,7,0,3256,,,
$40 million clean technology commercialisation grants,6,0,,NSW Government,https://www.energysaver.nsw.gov.au/reducing-emissions-nsw/net-zero-industry-and-innovation/clean-technology-innovation/clean-technology-commercialisation-grants,Added by Dai Lee,Expressions of interest (EOIs) for the clean technology commercialisation grants are opening on Monday 11 April 2022. These grants provide funding for projects to accelerate the scaling-up of proven clean technology innovations for Australian and international markets.,9,1,3257,,,
Freeze bread loaf,2,0,,Love Food Hate Waste,https://www.lovefoodhatewaste.com/toast,,"Did you know that you can toast bread straight from the freezer and still have the same delicious taste? Well it's true! Every day in the UK, 20 million slices of bread are thrown away - mostly because they are not used in time.",12,0,3258,,,
Ensure fridge temperature of 5 degree or below,2,0,,Love Food Hate Waste,https://www.lovefoodhatewaste.com/article/chill-fridge-out?gclid=EAIaIQobChMIqLKirJT45AIVwkPTCh2lhg9EEAAYASAAEgIRRvD_BwE,,"In fact, the average UK fridge temperature is set at at least 2°C too warm! This is terrible news for milk and other food items kept in the fridge, which can perish quickly when not stored at the right temperature.",12,0,3259,,,
buy loose fruit and vegetable,2,0,,Love Food Hate Waste,https://www.lovefoodhatewaste.com/makefoodmatter?_ga=2.206388625.365484946.1648876668-856377408.1647667919#asto-nosh-ing-food-facts,,Then you can buy only what you'll eat rather than buying a huge bag and end up chucking about half of them in the bin!,12,0,3260,,,
Save your bread end crusts,2,0,,Love Food Hate Waste,https://www.lovefoodhatewaste.com/makefoodmatter?_ga=2.206388625.365484946.1648876668-856377408.1647667919#asto-nosh-ing-food-facts,,Save your bread end crusts from the bin and make mini pizzas from them instead. Create your own recipe using up leftover food and share your creation with friends and family.,12,0,3261,,,
Use a thermometer in your fridge,2,0,,Love Food Hate Waste,https://www.lovefoodhatewaste.com/article/chill-fridge-out,,"Keep a fridge thermometer inside your fridge so you can keep an eye on the temperature. These are available from retailers such as Lakeland, Robert Dyas, Wilko and others.",12,0,3262,,,
Don't put hot food straight in the fridge,2,0,,Love Food Hate Waste,https://www.lovefoodhatewaste.com/article/chill-fridge-out,,Cool cooked food at room temperature and place in the fridge within one to two hours.,12,0,3263,,,
Store food in the right area of the fridge,2,0,,Love Food Hate Waste,https://www.lovefoodhatewaste.com/article/chill-fridge-out,,"Some parts of the fridge are less cool than others – for example, the door.  Take a look at our video for advice on where best to store different items.",12,0,3264,,,
Use a cool bag,2,0,,Love Food Hate Waste,https://www.lovefoodhatewaste.com/article/chill-fridge-out,,Use a cool bag to keep chilled food cool on the way home from the shops.,12,0,3265,,,
Food planning / caculate protion,2,0,,Love Food Hate Waste,https://www.lovefoodhatewaste.com/portion-planner,,Use a portion calculator,12,0,3266,,,
Eat all edible parts,2,0,,Love Food Hate Waste,https://www.lovefoodhatewaste.com/compleating,,"Compleating is simple. It’s about eating the whole ingredient or food and letting no edible parts go to waste. Getting the best value from the food you buy. Making the most of our food’s nutrients. Saving the hassle of peeling and unlocking a whole load of flavour potential. Compleating also reduces food waste, so the planet benefits as much as you do.",12,0,3267,,,
Power-BI SDG Dashboard  (Go under Annual Review) - DELETE,5,0,,UNSW Business School PRME SIP Report 2021,https://viewer.joomag.com/unsw-business-school-prme-sip-report-2021-december-2021/0921208001640067600,,"Work has begun on
development of a dashboard that will automatically tag
relevant content with SDGs. This will allow UNSW to
monitor and report on our contributions towards the SDGs
and will also provide all staff with visibility of SDG activities
across the university to enhance collaboration and support.
This SDG dashboard is being developed and piloted by staff
of the Business School’s School of Information Systems &
Technology Management."," 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",1,3268,Apply to all organizations,,
Staff Gender Equity,5,0,,UNSW Business School PRME SIP Report 2021,https://viewer.joomag.com/unsw-business-school-prme-sip-report-2021-december-2021/0921208001640067600,,"The EDI Committee is focused on
achieving 40% female academics at levels D and E by
2025. In 2019, females constituted 25% of level D staff and
37% of level E. By July 2021 the total proportion of female
academics at both D and E was 31%. The proportion at level
D had risen to 33%, but had fallen to 28% at level E. This fall
was due to a voluntary redundancy program for academics
instigated in response to the COVID-19 pandemic. (All
professors were awarded emeriti professorial positions.)"," 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",1,3269,Apply to all organizations,,
Business of Diversity Visiting Scholar Program,5,0,,UNSW Business School PRME SIP Report 2021,https://viewer.joomag.com/unsw-business-school-prme-sip-report-2021-december-2021/0921208001640067600,,"Introduced in 2019, the program awards $40,000 p.a. for 3
years and is designed to attract high quality researchers in
the field of equity, diversity and inclusion (EDI)",10,1,3270,Apply to all organizations,,
"Guidelines for achievement relative to opportunity
(ARO) during the Australian Bushfires 2019-2020 and
COVID-19 crises",5,0,,UNSW Business School PRME SIP Report 2021,https://viewer.joomag.com/unsw-business-school-prme-sip-report-2021-december-2021/0921208001640067600,,"These guidelines provide a framework
for all staff to articulate the impacts of these crises on their
capacity to achieve their goals and highlight their effort and
achievements despite the unprecedented circumstances.",10,1,3271,Apply to all organizations,,
Academic Women’s Career Advancement Program (AWCAP),5,0,,UNSW Business School PRME SIP Report 2021,https://viewer.joomag.com/unsw-business-school-prme-sip-report-2021-december-2021/0921208001640067600,,"Over 18 months, Level C/D female academics are
involved in several development and networking sessions to
ensure they are well prepared for applying for and achieving
promotion. The program saw three female academics
promoted in 2018, four in 2019 and two in 2020.",5,1,3272,Apply to all organizations,,
Early Career Academic mentoring,5,0,,UNSW Business School PRME SIP Report 2021,https://viewer.joomag.com/unsw-business-school-prme-sip-report-2021-december-2021/0921208001640067600,,"A focus on Level B
female academics. Five of the nine participants in 2020
were female. The program provides a structured series
of activities that help develop a broad range of relevant
knowledge and skills that are central to a successful
academic career.",5,1,3273,Apply to all organizations,,
Business School Flex Work Advocates,5,0,,UNSW Business School PRME SIP Report 2021,https://viewer.joomag.com/unsw-business-school-prme-sip-report-2021-december-2021/0921208001640067600,,"Four flexible work
advocates were successfully recruited in 2020 to raise
awareness and assist with the adoption of UNSW flexible
work guidelines, including the new Flexible Work Policy.
Promotion of a flexible work culture is a priority of both the
Business School and UNSW EDI committees.",10,1,3274,Apply to all organizations,,
Pinnacle Investment Women in Finance Scholarship,5,0,,,https://www.sydney.edu.au/scholarships/b/The-Pinnacle-Women-in-Finance-Scholarship.html,,"2021 - Domestic Postgraduate, $10,000",5,1,3275,Education and training,,
Crestone Wealth Management Scholarship for Women in Business,5,0,,,https://scholarships.online.unsw.edu.au/scholarship/sc_al_search_detail.display_scholarship_details?p_scholarship_specific_id=1215,,"2020 - Domestic Undergraduate, $5,000",5,1,3276,Education and training,,
Pamela J A Wallis Women in Business Scholarship,5,0,,,https://www.business.unsw.edu.au/Students-Site/Documents/506585905_BusinessAwards2020_recipients_list_v3.pdf,,"2019 - Domestic Undergraduate, $5,000",5,1,3277,Education and training,,
"AGSM Emerging Female Leaders Scholarship
(faculty funded)",5,0,,,https://www.scholarships.unsw.edu.au/scholarships/id/1248,,"2019, Full-time MBA $50,000 x 1;  $25,000 x 1",5,1,3278,Education and training,,
vertical job share,5,0,,UNSW Business School PRME SIP Report 2021,https://www.businessthink.unsw.edu.au/articles/universities-inclusive-women-men,,"For example, in an 80/20 split of time between two staff the division of role responsibility rests with the senior job share partner. Innovation calls for a work mindset shift from “no way” to “it starts with yes” when it comes to flexibility.

Women are traditionally seen as needing flexibility due to caring responsibilities. However, increasing flexibility for men is an often neglected but necessary part of the change. It’s an obvious way to increase options for men to share family and community involvement.","5, 10",1,3279,Apply to all organizations,,
Girls in Business Camp,5,0,,,https://www.unsw.edu.au/business/student-life/community/girls-in-business-camp,,"The 2021 Girls in Business Camp
was designed for female students in years 10, 11 or 12 who
wanted to explore their future in business. The program
is a collaboration between the Business School and our
industry partners to equip young women with the skills,
desire and ambition to study and work in the disciplines of
risk and actuarial, technology and information systems, and
banking and finance. Some 218 students registered for the
program; 110 high schools across NSW took part, including
20 Gateway schools and four Indigenous (identified)
students.",5,1,3280,Education and training,,
AGSM LGBTI Leadership Excellence Scholarship,5,0,,,https://www.unsw.edu.au/business/our-schools/agsm/agsm-scholarships/full-time-mba-scholarships,,"The
scholarship, believed to be the first of its kind in the Asia
Pacific region, enables outstanding community and
business leaders in the LGBTI community to undertake the
full-time MBA. In 2021 three scholarships were awarded to
LGBTIQ+ students for the 2022 cohort.",8,1,3281,Education and training,,
Low SES students,5,0,,,https://www.ncsehe.edu.au/practice/low-ses-students/,,"The Business School target is 15% low
SES students in the UG domestic student intake by 2025.
As of July 2021, the low-SES access for the Business
School was 9%.",4,1,3282,Education and training,,
COVID-19 Student Relief Hardship Fund,5,0,,,https://www.singaporetech.edu.sg/admissions/financial-aid/emergency-funds-grants/student-relief-fund-sit-covid-19,,"Provision of
funding to almost 750 Business School students in 2020.",4,1,3283,Education and training,,
Belonging and Transition (BAT) Program,5,0,,,https://www.access.unsw.edu.au/sites/default/files/documents/Access%20and%20Participation%20Plan%20UNSW_Final.pdf,,"Piloted in
2020 and advertised to first-year UG students that selfidentified
as coming from the following equity groups:
low SES backgrounds, the LGBTQI+ community, rural and
remote backgrounds, students living with a disability, being
culturally and linguistically diverse (CALD) and of Aboriginal
and/or Torres Strait Islander descent. Some 15 students
enrolled in BAT in the Business program in 2020.",4,1,3284,Education and training,,
UNSW Business School Textbook Access Scheme:,5,0,,,https://www.student.unsw.edu.au/law-textbook-scheme,,"A
collaboration between UNSW Business School, UNSW
Student Support, and the UNSW Bookshop. The purpose
of the scheme is to support the inclusion and success
of students from equity groups enrolled in the Business
School. All commencing equity and low SES students, and
undergraduate Indigenous students in the Business School
were invited to participate in the scheme in 2021. Almost
480 students were eligible for the scheme. Students will
receive a pro-rated amount with a cap of $250 for 2021
towards the purchase of course texts.",4,1,3285,Education and training,,
Gateway Admissions Pathway Program,5,0,,,https://www.access.unsw.edu.au/our-program/gateway,,"From
2021, this UNSW program aims to address the underrepresentation
of students from low socio-economic
backgrounds, which may include rural, regional and remote,
and Indigenous students. The program is UNSW’s primary
tool to address its strategic goal of increasing our low-SES
access rate to 15% by 2025. The program aims to deliver a
more diversified domestic student undergraduate cohort,
to increase the educational capacity and preparedness for
university of young people who are under-represented in
higher education, and to improve equitable access more
broadly to higher education for under-represented students.
In 2021, the Business School has 72 GAPP enrolments, the
majority being low SES (46%) and first in family (36%).",4,1,3286,Education and training,,
FlipTheScript,5,1,,,https://trello.com/b/W8Z473Kr/un-sdg-action-campaign-flip-the-script,Wan,"The SDG story is about what most people want: more inclusive, peaceful and sustainable societies, no later than 2030. We know that, especially after two years of the pandemic that has turned the world upside down. It is time to react, reset, restart. Old models have not delivered. We need new ones.
That’s why people must rewrite the story that shapes a new reality. It’s about knowing that the impossible is possible – if we act together. It means taking back our world because it belongs to all people, not just a few. We need to flip the script to achieve a healthy, just and green world, the ambitions at the heart of the #SDGs.","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",1,3287,Information media and telecommunications,,
Eat More Vegetables,2,0,,,https://trello.com/c/Jrl6qGK0/11-simple-actions-you-can-take,Wan,A plant-based diet has a lower environmental impact. Choose sustainable foods whenever possible - they taste good too!,"1, 2, 3, 13, 14, 15",0,3288,,,
Save Energy at Home,2,0,,,https://trello.com/c/Jrl6qGK0/12-simple-actions-you-can-take,Wan,"📌Switching to LED light bulbs
📌Washing laundry with cold water
📌Air drying clothes","13, 14, 15",0,3289,,,
"Walk, Bike Or Take Sustainable Transport",3,0,,,https://trello.com/c/Jrl6qGK0/13-simple-actions-you-can-take,Wan,"Fewer cars on the road means less traffic & lower carbon emissions.

Take part in #ClimateAction: Choose walking🚶‍♀️, cycling 🚵‍♂️ or public transportation 🚅 over car rides whenever you can.","13, 14, 15",0,3290,,,
Choose Eco-Friendly Products,3,0,,,https://trello.com/c/Jrl6qGK0/14-simple-actions-you-can-take,Wan,Every penny we spend affects the planet. Buy local and choose products from responsible companies that are committed to cutting gas emissions and waste.,"6, 9, 13, 14, 15",0,3291,,,
Speak Up,4,0,,,,Wan,"Use your actions — and your voice — to influence change 🗣

Appeal to world leaders, urge your city, region and university, and encourage businesses to take urgent #ClimateAction"," 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",0,3292,,,
