id,keyword,sdggoal,target,reference1,reference2,Note
160,Inequalities ,2,2.2,14,-,
161,Inequalities ,2,2.3,14,-,
162,Inequalities ,2,2.A,14,-,
163,Inequalities ,2,2.B,14,-,
164,Inequalities ,2,2.C,14,-,
165,Inequality ,2,2.1,14,-,
166,Inequality ,2,2.2,14,-,
167,Inequality ,2,2.3,14,-,
168,Inequality ,2,2.A,14,-,
169,Inequality ,2,2.B,14,-,
170,Inequality ,2,2.C,14,-,
171,Inequities ,2,2.1,14,-,
172,Inequities ,2,2.2,14,-,
173,Inequities ,2,2.3,14,-,
174,Inequities ,2,2.A,14,-,
175,Inequities ,2,2.B,14,-,
176,Inequity,2,2.1,0,-,
177,Inequity,2,2.2,0,-,
178,Inequity,2,2.3,0,-,
179,Inequity,2,2.A,0,-,
180,Inequity,2,2.B,0,-,
181,Inequity,2,2.C,0,-,
182,Innovations and health,2,2.2,0,-,
183,Innovations and health,2,2.A,0,-,
184,Land reform ,2,2.3,7,-,
185,Land's rights ,2,2.3,7,-,
186,left behind children ,2,2.1,11,-,
187,left behind children ,2,2.2,11,-,
188,Legume,2,2.2,0,-,
189,Legume,2,2.4,0,-,
190,Life cycle,2,2.4,0,-,
191,Life cycle analysis ,2,2.4,7,-,
192,Livestock gene bank ,2,2.5,19,-,
193,Livestock gene bank ,2,2.A,19,-,
194,Maize,2,2.1,0,-,
195,Maize,2,2.3,0,-,
196,Maize,2,2.4,0,-,
197,Maize,2,2.5,0,-,
198,Maize,2,2.A,0,-,
199,Malnourished,2,2.2,0,-,
200,Malnutrition,2,2.2,0,-,
201,Millennium Development Goals ,2,2.1,19,-,
202,Millennium Development Goals ,2,2.2,19,-,
203,Millennium Development Goals ,2,2.3,19,-,
204,Millennium Development Goals ,2,2.4,19,-,
205,Millennium Development Goals ,2,2.5,19,-,
206,Millennium Development Goals ,2,2.A,19,-,
207,Millennium Development Goals ,2,2.B,19,-,
208,Millennium Development Goals ,2,2.C,19,-,
209,National Security,2,2.4,0,-,
210,National Security,2,2.A,0,-,
211,National Security,2,2.B,0,-,
212,No Kid Hungry campaign ,2,2.1,28,-,
213,No Kid Hungry campaign,2,2.2,28,-,
214,Nutrition,2,2.2,0,-,
215,Nutrition improvement ,2,2.2,7,-,
216,Nutritional needs,2,2.2,0,-,
217,Nutritious,2,2.2,0,-,
218,Oportunidades ,2,2.1,16,-,
219,Oportunidades ,2,2.2,16,-,
220,Over population,2,2.1,0,-,
221,Over population,2,2.2,0,-,
222,Plant bank ,2,2.5,19,-,
223,Plant bank ,2,2.A,19,-,
224,Pollution ,2,2.1,7,-,
225,Pollution ,2,2.4,7,-,
226,Poor household ,2,2.1,14,-,
227,Poor household ,2,2.2,14,-,
228,Poverty,2,2.1,0,-,
229,Poverty,2,2.2,0,-,
230,Poverty,2,2.3,0,-,
231,Poverty,2,2.B,0,-,
232,Poverty,2,2.C,0,-,
233,PROGRESA ,2,2.1,16,-,
234,PROGRESA ,2,2.2,16,-,
235,Public infrastructure ,2,2.A,7,-,
236,Quality of Life,2,2.1,0,-,
237,Quality of life,2,2.2,0,-,
238,R&D ,2,2.A,20,-,
239,R&D investment ,2,2.A,7,-,
240,Refugee crisis,2,2.1,0,-,
241,Refugee rights,2,2.1,0,-,
242,Resilience,2,2.4,0,-,
243,Resilient,2,2.4,0,-,
244,Resilient agriculture,2,2.4,0,-,
245,Resource consumption ,2,2.4,17,-,
246,Rural infrastructure,2,2.A,0,-,
247,Sanitation,2,2.1,0,-,
248,Scientific research,2,2.A,0,-,
249,Small enterprise ,2,2.3,7,-,
250,Small entrepreneur ,2,2.3,7,-,
251,Small-scale food producers ,2,2.3,19,-,
252,social service,2,2.B,0,-,
253,social venture,2,2.B,0,-,
254,Social wellbeing ,2,2.1,3,-,
255,Social wellbeing ,2,2.3,3,-,
256,Social wellbeing ,2,2.4,3,-,
257,Social wellbeing ,2,2.A,3,-,
258,Social wellbeing ,2,2.C,3,-,
259,Soil pollution,2,2.4,0,-,
260,Stunted growth,2,2.2,0,-,
261,Stunting,2,2.2,0,-,
262,Stunting and wasting in children ,2,2.1,19,-,
263,Stunting and wasting in children ,2,2.2,19,-,
264,Sufficient food ,2,2.1,19,-,
265,Sufficient food ,2,2.2,19,-,
266,Sufficient food ,2,2.3,19,-,
267,Sufficient food ,2,2.4,19,-,
268,Sufficient food ,2,2.5,19,-,
269,Sufficient food ,2,2.A,19,-,
270,Sufficient food ,2,2.B,19,-,
271,Sufficient food ,2,2.C,19,-,
272,Sustainable agriculture,2,2.4,0,-,
273,Sustainable agriculture,2,2.5,0,-,
274,Sustainable agriculture,2,2.A,0,-,
275,Sustainable economic growth,2,2.4,0,-,
276,Sustainable farming,2,2.4,0,-,
277,Sustainable farming,2,2.A,0,-,
278,Sustainable food production,2,2.3,0,-,
279,Sustainable food production,2,2.4,0,-,
280,Sustainable food production,2,2.5,0,-,
281,Sustainable food production,2,2.A,0,-,
282,Sustainable food production,2,2.C,0,-,
283,Sustainable food production system ,2,2.3,19 ,-,
284,Sustainable food production system ,2,2.5,19 ,-,
285,Sustainable food production system ,2,2.C,19 ,-,
286,Sustainable food production systems ,2,2.4,19 ,-,
287,Sustainable food production systems ,2,2.A,19 ,-,
288,Sustainable societies,2,2.4,0,-,
289,Sustainable society,2,2.4,0,-,
290,Technological capabilities,2,2.A,0,-,
291,Technological development ,2,2.A,7,-,
292,Trade diversity,2,2.B,0,-,
293,Trade restriction,2,2.B,0,-,
294,Under nourished ,2,2.2,0,-,
295,Undernourished,2,2.2,0,-,
296,undernourishment ,2,2.2,7,-,
297,Undernutrition ,2,2.2,7,-,
298,Vitamin deficiencies ,2,2.2,7,-,
299,Vitamin deficiency ,2,2.2,7,-,
300,Vulnerable,2,2.1,0,-,
301,"WASH water, sanitation and hygiene",2,2.4,0,-,
302,Wasting,2,2.2,0,-,
303,Water infrastructure ,2,2.A,16,-,
304,Water Pollution,2,2.1,0,-,
305,Water Pollution,2,2.4,0,-,
306,Water-energy-food nexus,2,2.4,0,-,
307,Water-energy-food nexus,2,2.A,0,-,
308,"Water, Sanitation and Hygiene for All ",2,2.4,0,-,
309,Well being,2,2.2,0,-,
310,Well-being,2,2.2,0,-,
311,Wellbeing,2,2.2,0,-,
312,World’s hungry,2,2.1,0,-,
313,World’s hungry,2,2.2,0,-,
